[2021-09-15 19:01:40,658] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20646
[2021-09-15 19:02:25,655] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20641
[2021-09-15 19:02:25,723] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:25,723] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:25,785] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:25,800] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:34,741] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20638
[2021-09-15 19:02:34,797] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:34,797] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:34,856] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:34,871] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:34,901] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:02:45,846] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20589
[2021-09-15 19:02:45,895] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:45,895] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:02:45,948] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:45,957] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:02:49,062] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20589
[2021-09-15 19:02:51,557] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=des&show_all_projects=True& HTTP/1.1" 200 20610
[2021-09-15 19:02:57,112] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20690
[2021-09-15 19:02:59,798] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20315
[2021-09-15 19:03:02,997] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=asc&show_all_projects=True& HTTP/1.1" 200 20589
[2021-09-15 19:03:06,705] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=des&show_all_projects=True& HTTP/1.1" 200 20610
[2021-09-15 19:03:06,866] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:24:06,394] INFO basehttp.log_message: "GET /project/?order_by=field_of_science&direction=des&show_all_projects=True& HTTP/1.1" 302 0
[2021-09-15 19:24:06,425] INFO basehttp.log_message: "GET /user/login?next=/project/%3Forder_by%3Dfield_of_science%26direction%3Ddes%26show_all_projects%3DTrue%26 HTTP/1.1" 200 6821
[2021-09-15 19:24:06,484] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:24:06,485] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:24:06,601] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:24:06,602] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:24:06,652] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:24:09,590] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=field_of_science&direction=des&show_all_projects=True& HTTP/1.1" 302 0
[2021-09-15 19:24:09,636] INFO basehttp.log_message: "GET /project/?order_by=field_of_science HTTP/1.1" 200 10250
[2021-09-15 19:24:09,759] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:24:16,879] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20736
[2021-09-15 19:43:19,316] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 302 0
[2021-09-15 19:43:19,340] INFO basehttp.log_message: "GET /user/login?next=/project/%3Fshow_all_projects%3Don HTTP/1.1" 200 6766
[2021-09-15 19:43:19,407] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:43:19,407] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:43:19,511] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:43:19,511] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:43:19,548] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:43:22,244] INFO basehttp.log_message: "POST /user/login?next=/project/?show_all_projects=on HTTP/1.1" 302 0
[2021-09-15 19:43:22,335] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20550
[2021-09-15 19:43:22,478] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:43:29,049] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20209
